userId,movieId,rating,timestamp,date
1,1,4.0,964982703,2020-01-15
1,2,3.5,964981247,2020-01-20
1,3,5.0,964982680,2020-02-05
1,4,3.0,964982400,2020-02-18
1,5,4.5,964983398,2020-03-02
1,11,4.8,964983399,2020-03-15
1,12,4.9,964983400,2020-03-28
1,13,4.7,964983401,2020-04-10
1,14,4.5,964983402,2020-04-23
1,15,4.2,964983403,2020-05-06
2,1,3.0,964982703,2020-05-19
2,2,4.5,964981247,2020-06-01
2,3,2.0,964982680,2020-06-14
2,4,3.5,964982400,2020-06-27
2,5,4.0,964983398,2020-07-10
2,16,4.6,964983404,2020-07-23
2,17,4.3,964983405,2020-08-05
2,18,4.7,964983406,2020-08-18
2,19,4.1,964983407,2020-08-31
2,20,4.4,964983408,2020-09-13
3,1,5.0,964982703,2020-09-26
3,2,3.0,964981247,2020-10-09
3,3,4.5,964982680,2020-10-22
3,4,2.5,964982400,2020-11-04
3,5,3.5,964983398,2020-11-17
3,21,4.8,964983409,2020-11-30
3,22,4.2,964983410,2020-12-13
3,23,4.9,964983411,2020-12-26
3,24,4.5,964983412,2021-01-08
3,25,4.7,964983413,2021-01-21
4,6,4.0,964982703,2021-02-03
4,7,3.5,964981247,2021-02-16
4,8,5.0,964982680,2021-03-01
4,9,4.0,964982400,2021-03-14
4,10,4.5,964983398,2021-03-27
4,26,4.3,964983414,2021-04-09
4,27,4.6,964983415,2021-04-22
4,28,4.4,964983416,2021-05-05
4,29,4.7,964983417,2021-05-18
4,30,4.1,964983418,2021-05-31
5,6,3.0,964982703,2021-06-13
5,7,4.5,964981247,2021-06-26
5,8,2.0,964982680,2021-07-09
5,9,3.5,964982400,2021-07-22
5,10,4.0,964983398,2021-08-04
5,31,4.5,964983419,2021-08-17
5,32,4.2,964983420,2021-08-30
5,33,4.8,964983421,2021-09-12
5,34,4.0,964983422,2021-09-25
5,35,3.9,964983423,2021-10-08
6,11,4.7,964983424,2021-10-21
6,12,4.9,964983425,2021-11-03
6,13,4.6,964983426,2021-11-16
6,14,4.3,964983427,2021-11-29
