userId,movieId,rating,timestamp
1,1,4.0,964982703
1,2,3.5,964981247
1,3,5.0,964982680
1,4,3.0,964982400
1,5,4.5,964983398
1,11,4.8,964983399
1,12,4.9,964983400
1,13,4.7,964983401
1,14,4.5,964983402
1,15,4.2,964983403
2,1,3.0,964982703
2,2,4.5,964981247
2,3,2.0,964982680
2,4,3.5,964982400
2,5,4.0,964983398
2,16,4.6,964983404
2,17,4.3,964983405
2,18,4.7,964983406
2,19,4.1,964983407
2,20,4.4,964983408
3,1,5.0,964982703
3,2,3.0,964981247
3,3,4.5,964982680
3,4,2.5,964982400
3,5,3.5,964983398
3,21,4.8,964983409
3,22,4.2,964983410
3,23,4.9,964983411
3,24,4.5,964983412
3,25,4.7,964983413
4,6,4.0,964982703
4,7,3.5,964981247
4,8,5.0,964982680
4,9,4.0,964982400
4,10,4.5,964983398
4,26,4.3,964983414
4,27,4.6,964983415
4,28,4.4,964983416
4,29,4.7,964983417
4,30,4.1,964983418
5,6,3.0,964982703
5,7,4.5,964981247
5,8,2.0,964982680
5,9,3.5,964982400
5,10,4.0,964983398
5,31,4.5,964983419
5,32,4.2,964983420
5,33,4.8,964983421
5,34,4.0,964983422
5,35,3.9,964983423
6,11,4.7,964983424
6,12,4.9,964983425
6,13,4.6,964983426
6,14,4.3,964983427
6,15,4.1,964983428
6,36,4.4,964983429
6,37,4.5,964983430
6,38,4.8,964983431
6,39,4.2,964983432
6,40,4.0,964983433
7,16,4.6,964983434
7,17,4.3,964983435
7,18,4.7,964983436
7,19,4.1,964983437
7,20,4.4,964983438
7,41,4.5,964983439
7,42,4.8,964983440
7,43,4.2,964983441
7,44,4.6,964983442
7,45,4.3,964983443
8,21,4.8,964983444
8,22,4.2,964983445
8,23,4.9,964983446
8,24,4.5,964983447
8,25,4.7,964983448
8,46,4.4,964983449
8,47,4.1,964983450
8,48,4.6,964983451
8,49,4.3,964983452
8,50,4.7,964983453
9,26,4.3,964983454
9,27,4.6,964983455
9,28,4.4,964983456
9,29,4.7,964983457
9,30,4.1,964983458
9,1,3.8,964983459
9,6,4.2,964983460
9,11,4.9,964983461
9,16,4.5,964983462
9,21,4.7,964983463
10,31,4.5,964983464
10,32,4.2,964983465
10,33,4.8,964983466
10,34,4.0,964983467
10,35,3.9,964983468
10,36,4.3,964983469
10,37,4.6,964983470
10,38,4.1,964983471
10,39,4.4,964983472
10,40,4.7,964983473
11,41,4.5,964983474
11,42,4.8,964983475
11,43,4.2,964983476
11,44,4.6,964983477
11,45,4.3,964983478
11,46,4.7,964983479
11,47,4.0,964983480
11,48,4.4,964983481
11,49,4.1,964983482
11,50,4.5,964983483
12,1,4.2,964983484
12,11,4.8,964983485
12,21,4.6,964983486
12,31,4.3,964983487
12,41,4.7,964983488
12,2,3.9,964983489
12,12,4.9,964983490
12,22,4.1,964983491
12,32,4.4,964983492
12,42,4.8,964983493
13,3,4.5,964983494
13,13,4.7,964983495
13,23,4.9,964983496
13,33,4.2,964983497
13,43,4.6,964983498
13,4,3.8,964983499
13,14,4.3,964983500
13,24,4.5,964983501
13,34,4.0,964983502
13,44,4.7,964983503
14,5,4.1,964983504
14,15,4.4,964983505
14,25,4.8,964983506
14,35,3.7,964983507
14,45,4.3,964983508
14,6,4.2,964983509
14,16,4.6,964983510
14,26,4.5,964983511
14,36,4.1,964983512
14,46,4.4,964983513
15,7,3.9,964983514
15,17,4.3,964983515
15,27,4.7,964983516
15,37,4.5,964983517
15,47,4.0,964983518
15,8,4.2,964983519
15,18,4.8,964983520
15,28,4.4,964983521
15,38,4.6,964983522
15,48,4.1,964983523
16,9,3.8,964983524
16,19,4.2,964983525
16,29,4.7,964983526
16,39,4.3,964983527
16,49,4.5,964983528
16,10,4.1,964983529
16,20,4.4,964983530
16,30,4.6,964983531
16,40,4.0,964983532
16,50,4.7,964983533
17,1,4.3,964983534
17,2,3.7,964983535
17,3,4.6,964983536
17,4,3.9,964983537
17,5,4.2,964983538
17,6,4.4,964983539
17,7,3.8,964983540
17,8,4.1,964983541
17,9,3.6,964983542
17,10,4.3,964983543
18,11,4.9,964983544
18,12,4.8,964983545
18,13,4.7,964983546
18,14,4.5,964983547
18,15,4.2,964983548
18,16,4.6,964983549
18,17,4.3,964983550
18,18,4.8,964983551
18,19,4.1,964983552
18,20,4.4,964983553
19,21,4.7,964983554
19,22,4.2,964983555
19,23,4.9,964983556
19,24,4.5,964983557
19,25,4.8,964983558
19,26,4.3,964983559
19,27,4.6,964983560
19,28,4.4,964983561
19,29,4.7,964983562
19,30,4.1,964983563
20,31,4.5,964983564
20,32,4.2,964983565
20,33,4.8,964983566
20,34,4.0,964983567
20,35,3.9,964983568
20,36,4.3,964983569
20,37,4.6,964983570
20,38,4.1,964983571
20,39,4.4,964983572
20,40,4.7,964983573
